repo,fix_period,BIC_sha,BIC_time,BIC_files_count,BIC_file_changes,BFC_sha,BFC_time,BFC_files_count,BFC_file_changes
gpac/gpac,42,fc3dda25,2024-09-23T08:58:01Z,4,35,c5f08cda6a17dd484721a7e1b20d4c5e10b63d46,2024-11-04T16:45:25Z,6,51
gpac/gpac,157,c08973cc,2023-11-10T12:27:46Z,2,16,05ebaaf712cfe11a77b3290143426cbce441e4ee,2024-04-15T17:12:52Z,2,8
gpac/gpac,9,ed4c942f,2023-04-19T16:29:11Z,1,4,ff0259744b7c37541949d562ca085a14fb5974ec,2023-04-28T17:20:28Z,4,25
gpac/gpac,3,f8ce5083,2023-04-21T11:11:06Z,2,18,2a9436ba354964936b6ebc953afa5f6117c4e267,2023-04-25T07:11:43Z,2,4
gpac/gpac,0,621f1cab,2022-09-28T15:41:53Z,5,25,b23408b107fdec60425364464352d56bfdf53366,2022-09-29T11:28:15Z,1,2
gpac/gpac,0,94cf5b14,2022-01-21T11:01:15Z,2,11,b22e3409c6741e75373952396c642ed046bff6b6,2022-01-21T15:07:37Z,2,4
gpac/gpac,1,5e1f084,2021-12-13T10:45:29Z,1,5,76caa7f5d069f203c4b8a17ba15185665ae96dde,2021-12-14T14:57:46Z,1,2
gpac/gpac,2,7bcb436a,2021-12-06T08:41:01Z,1,4,2f3c519c7bf161cadcf24e40570ca58f5fc668ca,2021-12-08T10:01:37Z,1,3
gpac/gpac,0,04c6c8f,2021-12-05T11:30:02Z,2,6,7bcb436af55e5ac01f28bd77b6a030f7d9aa145d,2021-12-06T08:41:01Z,1,4
gpac/gpac,0,7bc17e49,2021-10-25T12:49:32Z,10,64,58cb738aa8bf640dbb4fde310b8bf7decd2dfa78,2021-10-25T14:18:07Z,1,8
gpac/gpac,0,9fd9fe05,2021-10-11T15:42:13Z,3,12,b9158f89f52e527aca97f6b4720c66697bb7a5c6,2021-10-11T21:57:57Z,4,7
gpac/gpac,4,9e14ae6a,2021-10-07T09:23:30Z,2,7,9fd9fe05b420107eb214c59d2df832b661293e1b,2021-10-11T15:42:13Z,3,12
gpac/gpac,0,f97d1561,2021-09-29T15:37:31Z,1,66,905980e05f79e224efd1f3ff992089750ad1ea55,2021-09-30T13:09:10Z,1,2
gpac/gpac,0,fe96c94c,2021-09-23T14:48:19Z,1,1,40b4583f8c2f1e09a353b7956f9f4e4f0e7c566f,2021-09-24T07:01:32Z,2,6
gpac/gpac,5,ff8a086f,2021-09-14T13:39:08Z,1,3,80af694aa0246083f5a90d8402775077a6c49536,2021-09-20T09:41:35Z,1,4
gpac/gpac,0,7bb1b4a4,2021-08-30T14:15:32Z,1,6,d003a572d57940460eb0bffbdbb824b59d4ddac9,2021-08-31T08:05:18Z,1,5
gpac/gpac,0,ca1f79a5,2021-07-13T12:33:16Z,1,43,b4d25ac3bd6e852eb017d941de03ee3dde56cea2,2021-07-13T17:57:30Z,1,2
gpac/gpac,0,d699e586,2021-06-07T13:50:32Z,2,40,34b350588bda977b4ddbc77323843b059cfd92b6,2021-06-07T16:29:58Z,1,3
gpac/gpac,0,528d8ee3,2021-06-07T12:58:27Z,4,52,99c6dbd9bbca67a25705858a58fba3157514a72b,2021-06-07T16:29:38Z,3,13
gpac/gpac,3,1392d904,2021-05-28T15:49:14Z,1,16,cbe62b08c82b07a6da7805b862b278aabf2a202c,2021-06-01T14:43:05Z,1,1
gpac/gpac,1,281f990b,2021-04-27T08:23:57Z,1,46,817d073a501b9e32afb6237a4594630ce55bc807,2021-04-28T22:30:19Z,3,25
gpac/gpac,0,b8f8b202,2021-04-23T12:37:01Z,1,2,78a8795859c9b86f34d24a839bd742f121234511,2021-04-23T15:53:56Z,4,29
gpac/gpac,2,bebd291,2021-03-20T04:03:37Z,2,28,7b20f80fb9ad94d35ea41de86534ded494a9a956,2021-03-22T14:01:36Z,3,8
gpac/gpac,0,ebfa346e,2021-03-12T10:56:53Z,3,20,4319318d40064fb5402b4e97316d389ab75acb1f,2021-03-12T12:22:56Z,2,4
gpac/gpac,0,653e0d2d,2021-03-11T17:30:31Z,1,11,73f0d29faa26430b88d62cd21c603ffaa47e45c0,2021-03-12T11:51:42Z,1,21
