name,stars,commits
nicolasff/webdis,2877,603
pgbackrest/pgbackrest,2864,4527
the-tcpdump-group/tcpdump,2853,5847
traviscross/mtr,2848,552
espruino/Espruino,2843,7909
rizinorg/rizin,2842,7153
vifm/vifm,2831,13306
FFTW/fftw3,2829,3109
RavenSystem/esp-homekit-devices,2827,907
the-tcpdump-group/libpcap,2804,5620
otya128/winevdm,2804,3287
util-linux/util-linux,2797,17653
zigzap/zap,2795,624
GPUOpen-LibrariesAndSDKs/VulkanMemoryAllocator,2787,1043
ntop/PF_RING,2778,3650
ShadowsocksR-Live/shadowsocksr-native,2771,510
DynamoRIO/dynamorio,2769,6484
htacg/tidy-html5,2750,1289
minoca/os,2733,1595
nanovms/nanos,2733,2374
djkaty/Il2CppInspector,2724,710
toverainc/willow,2723,881
open62541/open62541,2717,10544
Aleksoid1978/MPC-BE,2711,9232
MidnightCommander/mc-old,2709,10802
IoLanguage/io,2690,1132
saghul/txiki.js,2689,966
OpenSC/OpenSC,2684,4964
eduard-permyakov/permafrost-engine,2673,1528
gatieme/LDD-LinuxDeviceDrivers,2672,1343
LMDB/lmdb,2661,1225
WizTeam/WizQTClient,2649,1791
mydumper/mydumper,2646,2439
pipelinedb/pipelinedb,2643,641
cleanflight/cleanflight,2638,14549
networkupstools/nut,2637,13537
ZSWatch/ZSWatch,2631,905
xdp-project/xdp-tutorial,2619,537
riscv-software-src/riscv-isa-sim,2618,2469
jerryscript-project/iotjs,2610,1175
dlundquist/sniproxy,2601,604
simd-everywhere/simde,2591,3133
rogerclarkmelbourne/Arduino_STM32,2585,1011
ProtonVPN/android-app,2572,2927
saitoha/libsixel,2572,2199
okbob/pspg,2562,1210
mas-bandwidth/yojimbo,2548,1362
aws/amazon-freertos,2539,3159
cesanta/mongoose-os,2538,2259
DynamoRIO/drmemory,2536,2571
seemoo-lab/nexmon,2534,870
landley/toybox,2523,5284
linux-can/can-utils,2520,956
termux/termux-x11,2503,710
openmv/openmv,2502,4888
swiftlang/swift-corelibs-libdispatch,2500,1059
xiph/opus,2485,4749
Ettercap/ettercap,2481,822
mas-bandwidth/netcode,2472,1034
MayaPosch/NymphCast,2466,1212
ThirteenAG/WidescreenFixesPack,2464,1454
ashvardanian/StringZilla,2460,732
concurrencykit/ck,2458,1029
wolfSSL/wolfssl,2457,23258
recp/cglm,2455,1523
tj/luna,2451,605
asterisk/asterisk,2448,19127
damonkohler/sl4a,2446,820
ARMmbed/DAPLink,2429,1890
rbsec/sslscan,2423,579
pret/pokeemerald,2421,5456
vvaltchev/tilck,2412,5598
strongswan/strongswan,2406,18609
inspektor-gadget/inspektor-gadget,2399,4625
kkos/oniguruma,2395,1044
vnmakarov/mir,2395,3993
cc65/cc65,2393,6864
flame/blis,2392,2050
p-gen/smenu,2387,1000
ps2homebrew/Open-PS2-Loader,2387,1103
linux-test-project/ltp,2383,8397
Entware/Entware,2375,2954
SRombauts/SQLiteCpp,2371,763
langhuihui/jessibuca,2370,1482
emersion/mako,2369,506
vedderb/bldc,2368,2442
strace/strace,2362,9179
vmware/open-vm-tools,2338,3530
huangzworks/annotated_redis_source,2330,2704
solokeys/solo1,2324,1060
pwmt/zathura,2323,2309
WireGuard/wireguard-monolithic-historical,2323,1385
PureDarwin/PureDarwin,2319,532
libbpf/libbpf,2307,2166
open-mpi/ompi,2291,22917
FreeRDP/Remmina,2291,10942
bjornbytes/lovr,2277,5605
veandco/go-sdl2,2273,656
earlephilhower/arduino-pico,2268,1292
libgit2/rugged,2262,1639
boazsegev/facil.io,2261,734
wiredtiger/wiredtiger,2259,21698
slembcke/Chipmunk2D,2258,1262
yhzhang0128/egos-2000,2250,1138
tio/tio,2244,1119
pjsip/pjproject,2242,6564
EtchedPixels/FUZIX,2238,5284
TinyCC/tinycc,2220,1958
MaJerle/stm32f429,2220,799
d0k3/GodMode9,2219,1538
zuoqing1988/ZQCNN,2216,942
owntone/owntone-server,2197,6015
syslog-ng/syslog-ng,2195,15694
libratbag/libratbag,2194,2375
proot-me/proot,2189,1199
bitcoin-core/secp256k1,2184,1732
swaywm/wlroots,2173,3587
mstorsjo/llvm-mingw,2158,1189
atar-axis/xpadneo,2154,754
rspamd/rspamd,2148,21396
TheTumultuousUnicornOfDarkness/CPU-X,2142,2293
espressif/esp-iot-solution,2135,1082
way-cooler/way-cooler,2135,2502
cashapp/zipline,2127,1367
hasherezade/hollows_hunter,2124,752
open-quantum-safe/liboqs,2123,1447
amadvance/snapraid,2119,1812
ZerBea/hcxtools,2116,2707
MarlinFirmware/Configurations,2111,1479
webmproject/libwebp,2102,3744
rsyslog/rsyslog,2100,14891
Snaipe/Criterion,2096,1430
HansKristian-Work/vkd3d-proton,2080,5515
FIX94/Nintendont,2064,534
pr3y/Bruce,2064,1199
TryQuiet/quiet,2060,4560
cyring/CoreFreq,2058,2459
raspberrypi/userland,2052,549
jbush001/NyuziProcessor,2048,4508
sahib/rmlint,2048,2771
limine-bootloader/limine,2047,2794
davidmoreno/onion,2046,1038
omnirom/android_bootable_recovery,2038,1628
